time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.315,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.315,trend-switch,retq22-0002
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,449.04,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,449.04,sma-break,retq22-0003
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.147,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.147,risk-off,retq22-0004
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,5.0760000000000005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,5.0760000000000005,trend-switch,retq22-0005
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,517.67,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0006
2023-07-14T12:00:00.000Z,SOL,exit,trend,trend,1,28.05,517.67,trend-profit-trailing,retq22-0006
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.563,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,7.563,sma-break,retq22-0007
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,580.78,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,580.78,off22-strong,retq22-0008
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,7.304,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0009
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,7.304,range-time,retq22-0009
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,7.42,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0010
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,7.42,range-time,retq22-0010
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,7.3580000000000005,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,7.3580000000000005,range-time,retq22-0011
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,8.513,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,8.513,mean-revert,retq22-0012
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,578.73,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0013
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,578.73,sma-break,retq22-0013
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,522.97,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0014
2023-11-03T00:00:00.000Z,SOL,exit,trend,trend,1,40.24,522.97,trend-profit-trailing,retq22-0014
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.398,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0015
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,11.398,trend-switch,retq22-0015
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,530.78,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0016
2023-11-14T00:00:00.000Z,SOL,exit,trend,trend,1,51.6,530.78,trend-profit-trailing,retq22-0016
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,13.528,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-11-22T00:00:00.000Z,ETH,exit,trend,trend,1,1933.01,13.528,sma-break,retq22-0017
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,12.467,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0018
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,12.467,trend-switch,retq22-0018
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1045.07,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0019
2023-12-13T00:00:00.000Z,AVAX,exit,trend,trend,1,37.49,1045.07,trend-profit-trailing,retq22-0019
2023-12-13T00:00:00.000Z,AVAX,enter,trend,strict6,1,37.49,1039.72,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0020
2023-12-18T12:00:00.000Z,AVAX,exit,trend,trend,1,38.18,1039.72,trend-profit-trailing,retq22-0020
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,17.095,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,17.095,sma-break,retq22-0021
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,354.27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0022
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,354.27,sma-break,retq22-0022
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,14.462,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,14.462,risk-off,retq22-0023
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,330.63,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,330.63,trend-switch,retq22-0024
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,12.94,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0025
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,12.94,trend-switch,retq22-0025
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,348.40000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0026
2024-03-19T12:00:00.000Z,SOL,exit,trend,trend,1,177.84,348.40000000000003,trend-profit-trailing,retq22-0026
2024-03-26T12:00:00.000Z,SOL,enter,trend,strict6,1,194.8,316.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0027
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,316.34000000000003,sma-break,retq22-0027
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,46.92,1205.1200000000001,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0028
2024-04-08T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,50.43,1205.1200000000001,range-time,retq22-0028
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,339.98,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0029
2024-05-31T12:00:00.000Z,SOL,exit,trend,trend,1,168.74,339.98,trend-switch,retq22-0029
2024-05-31T12:00:00.000Z,ETH,enter,trend,strict6,1,3802.62,14.993,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0030
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,14.993,sma-break,retq22-0030
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,324.41,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0031
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,324.41,sma-break,retq22-0031
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,20.021,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0032
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,20.021,trend-switch,retq22-0032
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,336.74,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0033
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,336.74,sma-break,retq22-0033
2024-10-05T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,26.27,1785.49,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0034
2024-10-07T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,26.93,1785.49,mean-revert,retq22-0034
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,308.85,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0035
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,308.85,trend-profit-trailing,retq22-0035
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,269.25,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0036
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,269.25,trend-switch,retq22-0036
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,1641.69,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0037
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,1641.69,trend-switch,retq22-0037
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,238.59,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0038
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,238.59,trend-switch,retq22-0038
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,1436.01,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0039
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,1436.01,trend-switch,retq22-0039
