ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1674496800000,2023-01-23T18:00:00.000Z,10000,10000,CASH,cash,0,0
1674518400000,2023-01-24T00:00:00.000Z,10000,10000,CASH,cash,0,0
1674540000000,2023-01-24T06:00:00.000Z,10000,10000,CASH,cash,0,0
1674561600000,2023-01-24T12:00:00.000Z,10000,10000,CASH,cash,0,0
1674583200000,2023-01-24T18:00:00.000Z,10000,10000,CASH,cash,0,0
1674604800000,2023-01-25T00:00:00.000Z,10000,10000,CASH,cash,0,0
1674626400000,2023-01-25T06:00:00.000Z,10000,10000,CASH,cash,0,0
1674648000000,2023-01-25T12:00:00.000Z,10000,10000,CASH,cash,0,0
1674669600000,2023-01-25T18:00:00.000Z,10000,10000,CASH,cash,0,0
1674691200000,2023-01-26T00:00:00.000Z,10000,10000,CASH,cash,0,0
1674712800000,2023-01-26T06:00:00.000Z,10000,10000,CASH,cash,0,0
1674734400000,2023-01-26T12:00:00.000Z,10000,10000,CASH,cash,0,0
1674756000000,2023-01-26T18:00:00.000Z,10000,10000,CASH,cash,0,0
1674777600000,2023-01-27T00:00:00.000Z,10000,10000,CASH,cash,0,0
1674799200000,2023-01-27T06:00:00.000Z,10000,10000,CASH,cash,0,0
1674820800000,2023-01-27T12:00:00.000Z,10000,10000,CASH,cash,0,0
1674842400000,2023-01-27T18:00:00.000Z,10000,10000,CASH,cash,0,0
1674864000000,2023-01-28T00:00:00.000Z,10000,10000,CASH,cash,0,0
1674885600000,2023-01-28T06:00:00.000Z,10000,10000,CASH,cash,0,0
1674907200000,2023-01-28T12:00:00.000Z,10000,10000,CASH,cash,0,0
1674928800000,2023-01-28T18:00:00.000Z,10000,10000,CASH,cash,0,0
1674950400000,2023-01-29T00:00:00.000Z,10000,10000,CASH,cash,0,0
1674972000000,2023-01-29T06:00:00.000Z,10000,10000,CASH,cash,0,0
1674993600000,2023-01-29T12:00:00.000Z,10000,10000,CASH,cash,0,0
1675015200000,2023-01-29T18:00:00.000Z,10000,10000,CASH,cash,0,0
1675036800000,2023-01-30T00:00:00.000Z,10005.013390600001,-29.930391799998688,SOL,trend,383.58,26.07
1675058400000,2023-01-30T06:00:00.000Z,9691.421397400001,-29.930391799998688,SOL,trend,383.58,26.07
1675080000000,2023-01-30T12:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675101600000,2023-01-30T18:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675123200000,2023-01-31T00:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675144800000,2023-01-31T06:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675166400000,2023-01-31T12:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675188000000,2023-01-31T18:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675209600000,2023-02-01T00:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675231200000,2023-02-01T06:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675252800000,2023-02-01T12:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675274400000,2023-02-01T18:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675296000000,2023-02-02T00:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675317600000,2023-02-02T06:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675339200000,2023-02-02T12:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675360800000,2023-02-02T18:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675382400000,2023-02-03T00:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675404000000,2023-02-03T06:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675425600000,2023-02-03T12:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675447200000,2023-02-03T18:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675468800000,2023-02-04T00:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675490400000,2023-02-04T06:00:00.000Z,9152.196140800002,9152.196140800002,CASH,cash,0,0
1675512000000,2023-02-04T12:00:00.000Z,9120.013563220004,-27.4538795199951,ETH,trend,5.507,1661.92
1675533600000,2023-02-04T18:00:00.000Z,9190.621123160005,-27.4538795199951,ETH,trend,5.507,1661.92
1675555200000,2023-02-05T00:00:00.000Z,9105.793222610004,-27.4538795199951,ETH,trend,5.507,1661.92
1675576800000,2023-02-05T06:00:00.000Z,9130.719997270005,-27.4538795199951,ETH,trend,5.507,1661.92
1675598400000,2023-02-05T12:00:00.000Z,9021.953608280004,-27.4538795199951,ETH,trend,5.507,1661.92
1675620000000,2023-02-05T18:00:00.000Z,8843.458135990006,-27.4538795199951,ETH,trend,5.507,1661.92
1675641600000,2023-02-06T00:00:00.000Z,8971.660820640005,-27.4538795199951,ETH,trend,5.507,1661.92
1675663200000,2023-02-06T06:00:00.000Z,8894.958829010004,-27.4538795199951,ETH,trend,5.507,1661.92
1675684800000,2023-02-06T12:00:00.000Z,8939.870947230005,-27.4538795199951,ETH,trend,5.507,1661.92
1675706400000,2023-02-06T18:00:00.000Z,9012.949222720004,-27.4538795199951,ETH,trend,5.507,1661.92
1675728000000,2023-02-07T00:00:00.000Z,8835.716560600004,8835.716560600004,CASH,cash,0,0
1675749600000,2023-02-07T06:00:00.000Z,8835.716560600004,8835.716560600004,CASH,cash,0,0
1675771200000,2023-02-07T12:00:00.000Z,8835.716560600004,8835.716560600004,CASH,cash,0,0
1675792800000,2023-02-07T18:00:00.000Z,8835.716560600004,8835.716560600004,CASH,cash,0,0
1675814400000,2023-02-08T00:00:00.000Z,8835.716560600004,8835.716560600004,CASH,cash,0,0
